rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
28,3wNUaKeGPWmbB7139pfZdj,Empty,Metric,Live It Out,yes,156.00,60.00,60.00,36.00,146.00,9A,1,0.06,1.500,0.9979,0.1386,1.0156,2.4947,https://open.spotify.com/track/3wNUaKeGPWmbB7139pfZdj
29,5vollujufHY0jMZxx77VWr,All These Things That I've Done,The Killers,Hot Fuss,yes,145.00,70.00,54.00,21.00,118.00,2B,1,0.16,1.500,0.9946,0.1386,1.0151,2.4911,https://open.spotify.com/track/5vollujufHY0jMZxx77VWr
30,25dJMz1RMvCjoodJ2jI6BV,MOONWALKIN',GLU,MY DEMONS EP,yes,157.00,58.00,56.00,43.00,144.00,12A,1,1.25,1.500,0.9599,0.1386,1.0222,2.4817,https://open.spotify.com/track/25dJMz1RMvCjoodJ2jI6BV
31,6QQq00cv1UZK0bwWWEpa5e,"Flicker, Fade",Taking Back Sunday,Happiness Is,yes,112.00,78.00,12.00,22.00,197.00,5B,1,1.25,1.500,0.9600,0.1386,1.0177,2.4708,https://open.spotify.com/track/6QQq00cv1UZK0bwWWEpa5e
32,50GOcJ4oPhKmUxcdiqWBqx,Hell Nah,Rainbow Kitten Surprise,bones,yes,160.00,72.00,48.00,40.00,170.00,3B,1,1.26,1.500,0.9598,0.1386,1.0177,2.4707,https://open.spotify.com/track/50GOcJ4oPhKmUxcdiqWBqx
33,7w57O4o0xCTn9YpKuaPZDd,The Great Beyond,R.E.M.,In Time: The Best Of R.E.M. 1988-2003,yes,126.00,75.00,33.00,18.00,110.00,6B,1,1.26,1.500,0.9597,0.1386,1.0142,2.4622,https://open.spotify.com/track/7w57O4o0xCTn9YpKuaPZDd
34,5tb5fb5moizAdu3Z6jljn2,Make a Shadow,MEG MYERS,Sorry,yes,145.00,42.00,73.00,30.00,134.00,11A,1,1.26,1.500,0.9596,0.1386,1.0103,2.4526,https://open.spotify.com/track/5tb5fb5moizAdu3Z6jljn2
35,6ThVbNunEIjQxRNn0gk6Yg,Red,Catfish and the Bottlemen,The Ride,yes,156.00,85.00,54.00,17.00,135.00,6A,1,1.26,1.500,0.9597,0.1386,1.0073,2.4454,https://open.spotify.com/track/6ThVbNunEIjQxRNn0gk6Yg
36,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,Un Verano Sin Ti,yes,156.00,72.00,65.00,19.00,107.00,4A,1,0.22,1.500,0.9928,0.1386,0.9963,2.4434,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
37,3HErXAS9DiVd8C9x6CJTYd,Attaway,Phantogram,Memory Of A Day,yes,147.00,78.00,52.00,17.00,112.00,4A,1,1.26,1.500,0.9598,0.1386,1.0053,2.4406,https://open.spotify.com/track/3HErXAS9DiVd8C9x6CJTYd
38,7DTAZBykDP2m8LkYehrwhl,Friendly Fire,Rainbow Kitten Surprise,bones,yes,162.00,70.00,54.00,38.00,135.00,7B,1,1.26,1.500,0.9598,0.1386,1.0035,2.4363,https://open.spotify.com/track/7DTAZBykDP2m8LkYehrwhl
39,5mqJu0zKOG1YAozKzZJj6f,Wrong Side Of Love,Augustana,Augustana,yes,161.00,72.00,44.00,45.00,120.00,12B,1,0.19,1.500,0.9938,0.1386,0.9921,2.4339,https://open.spotify.com/track/5mqJu0zKOG1YAozKzZJj6f
40,2wZBb1r0BYixj88W9VsrTl,Motel,MEG MYERS,Sorry,yes,153.00,74.00,50.00,29.00,80.00,8B,1,0.17,1.500,0.9943,0.1386,0.9907,2.4308,https://open.spotify.com/track/2wZBb1r0BYixj88W9VsrTl
41,2QgDqRuKcCOd3iIWcspgUr,Obsessed,Elle Lexxa,Obsessed,yes,154.00,66.00,54.00,34.00,129.00,9B,1,0.21,1.500,0.9930,0.1386,0.9903,2.4289,https://open.spotify.com/track/2QgDqRuKcCOd3iIWcspgUr
42,5DIBVDJOHh7djepAjKHWCO,Heart Like A Truck,Lainey Wilson,Bell Bottom Country,yes,161.00,63.00,59.00,39.00,140.00,11B,1,0.18,1.500,0.9941,0.1386,0.9881,2.4244,https://open.spotify.com/track/5DIBVDJOHh7djepAjKHWCO
43,6EfZCB2wudriyD1vDjuAZ9,Bird Song,Florence + The Machine,Lungs (Deluxe Edition),yes,124.00,53.00,46.00,25.00,120.00,8B,1,1.25,1.500,0.9601,0.1386,0.9962,2.4189,https://open.spotify.com/track/6EfZCB2wudriyD1vDjuAZ9
44,1kDc700KN1jUerY6t09FNm,Oxygen,Catfish and the Bottlemen,The Ride,yes,159.00,84.00,47.00,28.00,125.00,12A,1,1.26,1.500,0.9597,0.1386,0.9906,2.4050,https://open.spotify.com/track/1kDc700KN1jUerY6t09FNm
45,7mE57yFVWevAttx4HvLZKi,Flow,Crooked Colours,Vera,yes,139.00,63.00,53.00,23.00,118.00,11A,1,1.26,1.500,0.9597,0.1386,0.9877,2.3979,https://open.spotify.com/track/7mE57yFVWevAttx4HvLZKi
46,3XMyREykeptNpvd0tE75xw,Numb,MEG MYERS,Take Me To The Disco,yes,149.00,69.00,51.00,29.00,82.00,7B,1,0.17,1.500,0.9943,0.1386,0.9756,2.3939,https://open.spotify.com/track/3XMyREykeptNpvd0tE75xw
47,0WYqT1IvPzmKNNzR8mgIQs,Love Lockdown,Glass Animals,Pools,yes,142.00,36.00,77.00,29.00,120.00,1B,1,1.27,1.500,0.9592,0.1386,0.9828,2.3856,https://open.spotify.com/track/0WYqT1IvPzmKNNzR8mgIQs
48,0jrRDpGv6FFizspjJJoH5i,10:15 Saturday Night - 2005 Remaster,The Cure,Three Imaginary Boys,yes,146.00,44.00,66.00,36.00,175.00,8B,1,1.29,1.500,0.9589,0.1386,0.9817,2.3826,https://open.spotify.com/track/0jrRDpGv6FFizspjJJoH5i
49,3TO7bbrUKrOSPGRTB5MeCz,Time,Pink Floyd,The Dark Side of the Moon,yes,120.00,48.00,36.00,36.00,120.00,11B,1,1.26,1.500,0.9596,0.1386,0.9812,2.3820,https://open.spotify.com/track/3TO7bbrUKrOSPGRTB5MeCz
50,0fFPWoqcdEDfIpS7wk6shV,Holy Ghost,The Neighbourhood,(((((ultraSOUND))))),yes,148.00,66.00,57.00,25.00,125.00,11A,1,1.26,1.500,0.9596,0.1386,0.9802,2.3797,https://open.spotify.com/track/0fFPWoqcdEDfIpS7wk6shV
51,31CgjKFR1pzFO5Im365rXB,I Am,AWOLNATION,Run,yes,159.00,75.00,57.00,27.00,130.00,12B,1,0.19,1.500,0.9938,0.1386,0.9637,2.3642,https://open.spotify.com/track/31CgjKFR1pzFO5Im365rXB
52,0qM7QW0hUI8Lez3MAI3P5U,Gold,Sir Sly,You Haunt Me,yes,162.00,86.00,49.00,27.00,90.00,3A,1,1.29,1.500,0.9587,0.1386,0.9732,2.3620,https://open.spotify.com/track/0qM7QW0hUI8Lez3MAI3P5U
53,6NDt5z8GKIHub37hBQ4x18,Tearing Me Up,Bob Moses,Days Gone By,yes,127.00,40.00,71.00,16.00,115.00,8B,1,1.30,1.500,0.9584,0.1386,0.9680,2.3492,https://open.spotify.com/track/6NDt5z8GKIHub37hBQ4x18
54,1yshfaUkaAletecfWFVgtS,Gooey - Gilligan Moss Remix,"Glass Animals,Gilligan Moss",Remixes,yes,140.00,70.00,58.00,12.00,110.00,10A,1,1.27,1.500,0.9592,0.1386,0.9623,2.3358,https://open.spotify.com/track/1yshfaUkaAletecfWFVgtS
55,15me96DL7o7XC4kctKRTjT,All A Mystery,Phantogram,Memory Of A Day (Deluxe),yes,118.00,66.00,29.00,23.00,204.00,10B,1,1.25,1.500,0.9599,0.1386,0.9609,2.3329,https://open.spotify.com/track/15me96DL7o7XC4kctKRTjT
56,5TFD2bmFKGhoCRbX61nXY5,NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,yes,46.00,20.00,14.00,12.00,138.00,2B,1,1.27,1.500,0.9594,0.1386,0.9585,2.3266,https://open.spotify.com/track/5TFD2bmFKGhoCRbX61nXY5
57,69QHm3pustz01CJRwdo20z,Hells Bells,AC/DC,Back In Black,yes,156.00,87.00,39.00,30.00,107.00,9A,1,1.30,1.500,0.9584,0.1386,0.9587,2.3265,https://open.spotify.com/track/69QHm3pustz01CJRwdo20z
58,5ykbOijJEfRhuo2Td1m0Qd,7,Catfish and the Bottlemen,The Ride,yes,152.00,71.00,53.00,28.00,155.00,6B,1,1.26,1.500,0.9597,0.1386,0.9512,2.3093,https://open.spotify.com/track/5ykbOijJEfRhuo2Td1m0Qd
59,58ge6dfP91o9oXMzq3XkIS,505,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),yes,160.00,85.00,52.00,23.00,140.00,8B,1,1.29,1.500,0.9586,0.1386,0.9509,2.3078,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
