rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
47,0KseHCMXqZZkoKn4UJfWlO,Smile,Foreign Air,Smile (Remix),yes,181.00,65.00,59.00,57.00,100.00,8B,1,1.29,1.500,0.9587,0.1386,0.9729,2.3613,https://open.spotify.com/track/0KseHCMXqZZkoKn4UJfWlO
48,4xigPf2sigSPmuFH3qCelB,Genius,"Sia,Diplo,Labrinth,LSD","LABRINTH, SIA & DIPLO PRESENT... LSD",yes,178.00,62.00,60.00,56.00,159.00,10A,1,1.27,1.500,0.9594,0.1386,0.9590,2.3280,https://open.spotify.com/track/4xigPf2sigSPmuFH3qCelB
49,0jXRQSoOA01VTmrVIDbhtm,Shh,Frou Frou,Details,yes,179.00,80.00,65.00,34.00,131.00,11A,1,1.28,1.500,0.9591,0.1386,0.9589,2.3276,https://open.spotify.com/track/0jXRQSoOA01VTmrVIDbhtm
50,3850dYVgOFIXJh5U4BFEWH,Hung Up,Madonna,Confessions on a Dance Floor,yes,171.00,65.00,65.00,41.00,125.00,8A,1,1.26,1.500,0.9596,0.1386,0.9585,2.3268,https://open.spotify.com/track/3850dYVgOFIXJh5U4BFEWH
51,4ODBthPIrDroujDxRS7cWu,GREAT LAKES,cleopatrick,BUMMER,yes,176.00,79.00,45.00,52.00,75.00,2B,1,1.25,1.500,0.9600,0.1386,0.9552,2.3191,https://open.spotify.com/track/4ODBthPIrDroujDxRS7cWu
52,1iQQIAfpATwzNGL9cjvsqL,Lost Kitten,Metric,Synthetica,maybe,170.00,53.00,67.00,50.00,133.00,11B,1,0.07,0.600,0.9978,0.1386,1.0498,1.0315,https://open.spotify.com/track/1iQQIAfpATwzNGL9cjvsqL
53,0JEzP25OqBOWbm5U7pC9f2,Adelaide,MEG MYERS,Daughter in the Choir,maybe,167.00,84.00,56.00,27.00,150.00,8B,1,0.17,0.600,0.9943,0.1386,1.0494,1.0300,https://open.spotify.com/track/0JEzP25OqBOWbm5U7pC9f2
54,3jwQt00cvkN57H6ZR75W2K,RUNRUNRUN,Dutch Melrose,RUNRUNRUN,maybe,169.00,62.00,54.00,53.00,133.00,11A,1,0.17,0.600,0.9942,0.1386,1.0493,1.0298,https://open.spotify.com/track/3jwQt00cvkN57H6ZR75W2K
55,0SB7Ew45h690xWhmWvWixm,Swim Back,Daughter,Stereo Mind Game,maybe,172.00,77.00,57.00,38.00,120.00,3B,1,0.08,0.600,0.9974,0.1386,1.0477,1.0292,https://open.spotify.com/track/0SB7Ew45h690xWhmWvWixm
56,2ZJ0357KXCl3WTCwsPQWdQ,Story - Non-LP Version,Maroon 5,The B-Side Collection,maybe,170.00,81.00,47.00,42.00,120.00,8B,1,0.08,0.600,0.9975,0.1386,1.0469,1.0285,https://open.spotify.com/track/2ZJ0357KXCl3WTCwsPQWdQ
57,5JqMWnxVKjJZ2NNOEux46S,Punkrocker,"Teddybears,Iggy Pop",Soft Machine (U.S. Version),maybe,166.00,80.00,55.00,31.00,142.00,7A,1,0.20,0.600,0.9934,0.1386,1.0472,1.0275,https://open.spotify.com/track/5JqMWnxVKjJZ2NNOEux46S
58,0BUxYYHPvkYOOGgX4aI2W4,Ain’t In Kansas Anymore,Miranda Lambert,Twisters: The Album,maybe,174.00,70.00,56.00,48.00,126.00,3B,1,0.08,0.600,0.9974,0.1386,1.0399,1.0216,https://open.spotify.com/track/0BUxYYHPvkYOOGgX4aI2W4
59,3cvNxYnBgh6ystYLC6NQTT,Daylight,Maroon 5,Overexposed (Deluxe),maybe,168.00,67.00,66.00,35.00,120.00,10B,1,1.22,0.600,0.9608,0.1386,1.0434,1.0136,https://open.spotify.com/track/3cvNxYnBgh6ystYLC6NQTT
60,50Emgupm363qIrYBe20FR3,Quittin' Time,Zach Bryan,Summertime Blues,maybe,183.00,73.00,56.00,54.00,143.00,5A,1,0.18,0.600,0.9940,0.1386,1.0284,1.0092,https://open.spotify.com/track/50Emgupm363qIrYBe20FR3
61,5TTGoX70AFrTvuEtqHK37S,No. 1 Party Anthem,Arctic Monkeys,AM,maybe,181.00,70.00,51.00,60.00,115.00,8B,1,0.08,0.600,0.9974,0.1386,1.0273,1.0092,https://open.spotify.com/track/5TTGoX70AFrTvuEtqHK37S
62,60wP3TZcl0sOFVfWrbADui,Not Enough,Daughter,Not Enough,maybe,184.00,66.00,53.00,65.00,77.00,8B,1,1.29,0.600,0.9586,0.1386,1.0378,1.0075,https://open.spotify.com/track/60wP3TZcl0sOFVfWrbADui
63,3RfbwqzBZuPpfRZe160HXD,Anything's Possible,Foreign Air,Hello Sunshine,maybe,174.00,71.00,54.00,49.00,140.00,10A,1,0.21,0.600,0.9929,0.1386,1.0268,1.0073,https://open.spotify.com/track/3RfbwqzBZuPpfRZe160HXD
64,55lijDD6OAjLFFUHU9tcDm,WHERE IS MY HUSBAND,RAYE,WHERE IS MY HUSBAND!,maybe,180.00,78.00,39.00,63.00,116.00,4B,1,1.27,0.600,0.9593,0.1386,1.0372,1.0071,https://open.spotify.com/track/55lijDD6OAjLFFUHU9tcDm
65,2Vn92UPSmDMynFENzpe2zP,Open Your Eyes,STRFKR,"Being No One, Going Nowhere",maybe,182.00,75.00,67.00,40.00,130.00,5A,1,1.23,0.600,0.9608,0.1386,1.0343,1.0047,https://open.spotify.com/track/2Vn92UPSmDMynFENzpe2zP
66,2QhURnm7mQDxBb5jWkbDug,Don't Panic,Coldplay,Parachutes,maybe,166.00,61.00,60.00,45.00,122.00,8B,1,1.25,0.600,0.9601,0.1386,1.0343,1.0045,https://open.spotify.com/track/2QhURnm7mQDxBb5jWkbDug
67,4prEPl61C8qZpeo3IkYSMl,Sleepyhead,Passion Pit,Manners,maybe,183.00,72.00,57.00,54.00,106.00,4B,1,0.07,0.600,0.9976,0.1386,1.0224,1.0044,https://open.spotify.com/track/4prEPl61C8qZpeo3IkYSMl
68,0EJfFBsTiTDqariX5cZfrC,Carl Sagan,Night Moves,Carl Sagan,maybe,167.00,73.00,47.00,47.00,118.00,1A,1,0.18,0.600,0.9940,0.1386,1.0213,1.0023,https://open.spotify.com/track/0EJfFBsTiTDqariX5cZfrC
